name,lat,lon,alt_km
NORAD-5,10.1535,-138.1324,3092.9
NORAD-11,-12.0961,-58.7995,2599.7
NORAD-12,1.9992,-76.2044,1030.1
NORAD-16,20.6710,-11.5916,1825.1
NORAD-20,-10.8581,-16.2381,558.4
NORAD-22,4.8646,123.4915,449.7
NORAD-29,-2.3513,58.8568,656.2
NORAD-45,19.1912,74.4911,610.1
NORAD-46,-33.8268,-34.0106,643.7
NORAD-47,20.5951,119.1312,624.3
NORAD-50,24.0794,78.0095,1540.3
NORAD-51,-41.8333,177.4279,1531.4
NORAD-53,10.6396,-115.3544,1664.1
NORAD-58,12.4529,8.3004,973.6
NORAD-59,26.3148,79.2740,966.5
NORAD-82,36.2206,-57.6187,1415.2
NORAD-107,-15.9686,-4.4482,1083.0
NORAD-115,-29.8771,159.9029,596.9
NORAD-116,-22.0689,-11.4733,895.8
NORAD-117,36.5161,74.5492,979.0
NORAD-118,-55.3092,-174.5462,834.5
NORAD-119,53.4633,76.9995,845.3
NORAD-120,-42.3897,-47.9256,736.6
NORAD-121,-59.4946,175.1315,911.1
NORAD-122,-63.6543,19.0457,574.8
NORAD-123,42.4173,127.0841,796.0
NORAD-124,-59.6208,98.4006,828.7
NORAD-125,-56.7275,154.9411,895.5
NORAD-126,-61.4083,-56.3198,723.3
NORAD-127,59.8154,-105.1464,729.9
NORAD-128,4.6025,88.3533,864.5
NORAD-130,27.5591,-34.3172,937.0
NORAD-131,-6.7816,7.1914,867.5
NORAD-132,-22.1901,69.1093,874.3
NORAD-133,21.1236,134.4411,826.9
NORAD-134,20.3960,124.9400,852.6
NORAD-136,56.1155,-32.6725,763.4
NORAD-138,66.9889,106.1069,859.9
NORAD-141,-17.4200,139.4285,979.7
NORAD-144,-66.0180,-142.8875,919.5
NORAD-145,-2.5131,-71.3664,882.8
NORAD-147,48.4873,55.3791,801.1
NORAD-148,-7.2604,-159.3345,918.2
NORAD-150,59.9928,-140.1163,1000.0
NORAD-152,12.7323,-129.7180,968.3
NORAD-154,8.1986,62.7070,822.3
NORAD-155,-33.4827,4.0002,701.4
NORAD-158,13.4708,-53.3627,1175.3
NORAD-159,5.0334,150.2061,1482.3
NORAD-162,-40.1418,176.2936,773.7
NORAD-163,-75.6214,177.2995,3550.1
NORAD-167,-31.0915,121.6484,758.3
NORAD-172,-49.1052,-71.0837,1144.8
NORAD-177,-37.1125,88.9557,883.9
NORAD-178,-56.8531,-132.4992,885.3
NORAD-188,-61.4567,-6.3072,3490.7
NORAD-192,-2.7614,15.0717,3703.7
NORAD-194,-64.6142,-126.8166,3921.0
NORAD-195,-6.1549,176.6168,3592.8
NORAD-196,64.3450,168.7782,3520.9
NORAD-202,18.4562,-3.4592,1045.0
NORAD-204,-29.8276,147.9124,1053.3
NORAD-205,16.4870,156.6959,955.2
NORAD-210,0.2631,92.6007,956.9
NORAD-223,16.7057,42.5762,981.4
NORAD-224,18.0381,66.3118,815.5
NORAD-225,30.4556,-44.2709,726.5
NORAD-226,39.8319,0.2734,770.5
NORAD-227,8.0534,-144.9747,839.1
